model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 E Class,2016,17820,Automatic,24514,Diesel,30.0,65.7,2.0,Merc
 A4,2017,18390,Semi-Auto,54421,Diesel,30.0,61.4,2.0,Audi
 2 Series,2019,24440,Semi-Auto,5639,Diesel,145.0,49.6,2.0,BMW
 C Class,2017,17127,Semi-Auto,45624,Diesel,145.0,61.4,2.1,Merc
 X4,2015,17399,Manual,70601,Diesel,160.0,52.3,2.0,BMW
 Kodiaq,2019,28950,Automatic,7040,Diesel,145.0,39.2,2.0,Skoda
 Golf,2015,12495,Manual,17890,Petrol,30.0,53.3,1.4,VW
 3 Series,2017,18489,Automatic,18374,Diesel,145.0,64.2,2.0,BMW
 Golf,2020,33792,Automatic,156,Petrol,145.0,32.8,2.0,VW
 Golf,2014,18995,Manual,34879,Petrol,200.0,39.8,2.0,VW
 Mokka X,2018,12802,Manual,11254,Petrol,145.0,39.2,1.4,Vauxhall
 A Class,2017,15000,Manual,29737,Diesel,145.0,62.8,2.1,Merc
 Fabia,2019,11950,Manual,11552,Petrol,145.0,61.4,1.0,Skoda
 C Class,2019,26899,Semi-Auto,2000,Petrol,145.0,45.6,1.5,Merc
 A1,2019,19990,Automatic,3826,Petrol,145.0,47.1,1.0,Audi
 Fiesta,2018,10100,Manual,25410,Petrol,145.0,56.5,1.0,Ford
 5 Series,2018,28500,Automatic,11162,Diesel,145.0,60.1,3.0,BMW
 A1,2018,14450,Automatic,14655,Petrol,150.0,64.2,1.0,Audi
 Tiguan,2019,29995,Semi-Auto,7316,Diesel,150.0,31.4,2.0,VW
 Mokka X,2019,12300,Manual,14705,Petrol,145.0,39.2,1.4,Vauxhall
 Fiesta,2020,15299,Manual,895,Petrol,145.0,58.9,1.0,Ford
 C Class,2019,25999,Semi-Auto,5910,Petrol,145.0,46.3,1.5,Merc
 I20,2017,7999,Manual,32582,Petrol,30.0,58.9,1.2,Hyundi
 X-CLASS,2019,37891,Automatic,303,Diesel,265.0,31.4,3.0,Merc
 A Class,2018,21980,Semi-Auto,5162,Diesel,145.0,67.3,1.5,Merc
 GLC Class,2020,37995,Semi-Auto,9,Petrol,145.0,33.2,2.0,Merc
 C Class,2014,9891,Semi-Auto,52500,Diesel,125.0,57.7,2.1,Merc
 Aygo,2017,7270,Manual,10500,Petrol,145.0,68.9,1.0,toyota
 Fiesta,2017,12000,Automatic,10310,Petrol,0.0,57.7,1.0,Ford
 Focus,2016,7000,Manual,94581,Petrol,145.0,54.3,1.5,Focus
 X3,2019,40980,Automatic,7439,Diesel,145.0,36.7,3.0,BMW
 Focus,2013,6500,Manual,57029,Petrol,145.0,54.3,1.0,Focus
 C Class,2017,20700,Semi-Auto,18346,Diesel,145.0,54.3,2.1,cclass
 Mokka X,2018,11900,Manual,32106,Petrol,150.0,39.2,1.4,Vauxhall
 Focus,2016,9511,Manual,19276,Petrol,20.0,60.1,1.0,Ford
 Yaris,2013,5298,Manual,33072,Petrol,30.0,58.9,1.0,toyota
 Fiesta,2014,7995,Manual,18391,Petrol,0.0,65.7,1.0,Ford
 Corsa,2020,17498,Manual,10,Petrol,145.0,52.3,1.2,Vauxhall
 Crossland X,2019,11891,Manual,5391,Petrol,145.0,47.1,1.2,Vauxhall
 Astra,2018,12990,Manual,18000,Petrol,140.0,47.1,1.4,Vauxhall
 Fabia,2018,9990,Manual,24154,Petrol,150.0,64.2,1.0,Skoda
 GLA Class,2016,16490,Automatic,60126,Diesel,125.0,56.5,2.1,Merc
 Yaris,2018,9798,Manual,11935,Petrol,145.0,58.9,1.5,toyota
 A5,2015,18300,Automatic,29084,Diesel,235.0,42.8,3.0,Audi
 Tiguan,2019,25498,Manual,10,Diesel,145.0,47.9,2.0,VW
 Insignia,2016,6491,Manual,102000,Diesel,30.0,62.8,2.0,Vauxhall
 A3,2019,21750,Manual,5000,Petrol,145.0,46.3,1.0,Audi
 Polo,2017,11998,Semi-Auto,15209,Petrol,150.0,60.1,1.2,VW
 1 Series,2019,21500,Manual,3251,Petrol,145.0,44.1,1.5,BMW
 Mustang,2017,29980,Automatic,24000,Petrol,150.0,23.5,5.0,Ford
 Golf,2015,18851,Manual,23629,Petrol,200.0,39.8,2.0,VW
 Focus,2015,10500,Automatic,6693,Petrol,145.0,54.3,1.6,Focus
 Kuga,2018,16500,Manual,33646,Diesel,145.0,60.1,2.0,Ford
 GLE Class,2019,52495,Semi-Auto,6880,Diesel,145.0,32.8,3.0,Merc
 Corolla,2019,21495,Automatic,9004,Hybrid,135.0,85.6,1.8,toyota
 C-MAX,2018,9999,Manual,30375,Diesel,145.0,68.9,1.5,Ford
 Aygo,2017,7998,Manual,11675,Petrol,0.0,68.9,1.0,toyota
 Q2,2017,18327,Semi-Auto,31000,Petrol,145.0,54.3,1.4,Audi
 Focus,2019,17290,Manual,4989,Petrol,145.0,60.1,1.0,Ford
 A3,2015,12950,Automatic,29255,Diesel,30.0,62.8,2.0,Audi
 Up,2020,11590,Manual,25,Petrol,145.0,51.4,1.0,VW
 SL CLASS,2017,35999,Semi-Auto,27000,Petrol,145.0,36.7,3.0,Merc
 Mokka X,2016,8600,Manual,36320,Petrol,145.0,47.1,1.4,Vauxhall
 A6,2016,19998,Semi-Auto,29738,Diesel,30.0,61.4,2.0,Audi
 C Class,2017,17690,Semi-Auto,25059,Diesel,145.0,54.3,2.1,cclass
 Golf,2015,13700,Manual,43696,Diesel,20.0,67.3,2.0,VW
 Astra,2017,9998,Semi-Auto,45480,Diesel,125.0,61.4,1.6,Vauxhall
 Golf,2017,16298,Semi-Auto,34425,Diesel,125.0,58.9,2.0,VW
 2 Series,2019,23976,Automatic,20,Diesel,145.0,67.3,2.0,BMW
 V Class,2018,43991,Semi-Auto,12572,Diesel,150.0,44.8,2.2,Merc
 Yaris,2019,12450,Manual,6271,Petrol,145.0,47.9,1.5,toyota
 A5,2019,25295,Semi-Auto,3245,Diesel,145.0,49.6,2.0,Audi
 Insignia,2018,14999,Manual,4209,Petrol,145.0,47.1,1.5,Vauxhall
 C Class,2019,28800,Automatic,6000,Petrol,145.0,54.3,2.0,cclass
 T-Cross,2019,18300,Automatic,9410,Petrol,145.0,45.6,1.0,VW
 Fiesta,2018,9997,Manual,15683,Petrol,145.0,64.2,1.1,Ford
 Up,2017,8490,Manual,2425,Petrol,150.0,64.2,1.0,VW
 Q5,2018,40995,Semi-Auto,7968,Petrol,145.0,34.0,3.0,Audi
 X3,2013,15500,Automatic,30000,Diesel,165.0,50.4,2.0,BMW
 Yaris,2018,10295,Manual,14841,Petrol,145.0,47.1,1.5,toyota
 Insignia,2018,12499,Manual,31410,Petrol,145.0,47.1,1.5,Vauxhall
 Aygo,2014,5515,Manual,22672,Petrol,0.0,65.7,1.0,toyota
 Golf,2019,19975,Automatic,6000,Petrol,145.0,44.8,1.5,VW
 I30,2017,10999,Manual,18539,Diesel,145.0,78.4,1.6,Hyundi
 Focus,2013,5499,Manual,84000,Diesel,145.0,54.3,1.6,Focus
 C Class,2016,20444,Automatic,24357,Diesel,145.0,54.3,2.1,cclass
 Q3,2017,17800,Manual,14707,Petrol,125.0,51.4,1.4,Audi
 Focus,2015,8198,Manual,22811,Petrol,145.0,54.3,1.0,Focus
 Focus,2017,13300,Automatic,9728,Petrol,145.0,51.4,1.0,Ford
 Camry,2019,26990,Automatic,3000,Hybrid,135.0,52.3,2.5,toyota
 Fiesta,2018,10570,Manual,14112,Petrol,145.0,58.9,1.0,Ford
 Tiguan,2017,20990,Semi-Auto,56000,Diesel,145.0,57.6,2.0,VW
 I800,2019,20998,Manual,2573,Diesel,145.0,31.7,2.5,Hyundi
